Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,BIC_Optimized_Space,2,XGBoost_Classifier,0.9438,0.4587,0.6667,0.5198
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,BIC_Optimized_Space,2,Support_Vector_Classifier,0.9213,0.3106,0.3333,0.3216
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,BIC_Optimized_Space,2,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,Full_Feature_Space,6,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,Full_Feature_Space,6,Support_Vector_Classifier,0.9326,0.4548,0.6626,0.5158
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,Full_Feature_Space,6,Neural_Network_MLP,0.9213,0.4363,0.6585,0.4919
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,AIC_Optimized_Space,3,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,AIC_Optimized_Space,3,Support_Vector_Classifier,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,AIC_Optimized_Space,3,Neural_Network_MLP,0.9438,0.4587,0.6667,0.5198
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,BIC_Optimized_Space,2,XGBoost_Classifier,0.9438,0.4587,0.6667,0.5198
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,BIC_Optimized_Space,2,Support_Vector_Classifier,0.9213,0.3106,0.3333,0.3216
6Months_to_12Months_Height_S4_S6_Zscore_Only,6Months,12Months,Height,BIC_Optimized_Space,2,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_BMI_S1_S5_All_Data,6Months,12Months,BMI,Full_Feature_Space,8,XGBoost_Classifier,0.8202,0.4098,0.4468,0.4257
6Months_to_12Months_BMI_S1_S5_All_Data,6Months,12Months,BMI,Full_Feature_Space,8,Support_Vector_Classifier,0.7865,0.3811,0.4012,0.3891
6Months_to_12Months_BMI_S1_S5_All_Data,6Months,12Months,BMI,Full_Feature_Space,8,Neural_Network_MLP,0.8202,0.5285,0.5536,0.5383
6Months_to_12Months_BMI_S1_S5_All_Data,6Months,12Months,BMI,AIC_Optimized_Space,2,XGBoost_Classifier,0.8202,0.406,0.4468,0.4206
6Months_to_12Months_BMI_S1_S5_All_Data,6Months,12Months,BMI,AIC_Optimized_Space,2,Support_Vector_Classifier,0.8652,0.4523,0.4642,0.4581
